Date,Month,Line,Contour,Pot #,Depth,BAIT,SEX,Carapace Width
12/7/13,December,PD,60,2,,RF,1,172
12/7/13,December,PD,60,2,,RF,1,191
12/7/13,December,PD,60,2,,RF,1,178
12/7/13,December,PD,60,2,,RF,1,184
12/7/13,December,PD,60,2,,RF,1,185
12/7/13,December,PD,60,2,,RF,1,161
12/7/13,December,PD,60,2,,RF,1,171
12/7/13,December,PD,60,3,,RF,1,175
12/7/13,December,PD,60,3,,RF,1,177
12/7/13,December,PD,60,3,,RF,1,186
12/7/13,December,PD,60,3,,RF,1,180
12/7/13,December,PD,60,3,,RF,1,182
12/7/13,December,PD,60,3,,RF,1,166
12/7/13,December,PD,60,3,,RF,1,191
12/7/13,December,PD,60,3,,RF,1,169
12/7/13,December,PD,60,3,,RF,1,175
12/7/13,December,PD,60,3,,RF,1,179
12/7/13,December,PD,60,3,,RF,1,191
12/7/13,December,PD,60,3,,RF,1,178
12/7/13,December,PD,60,3,,RF,1,188
12/7/13,December,NH,60,1,,RF,1,180
12/7/13,December,NH,60,1,,RF,1,176
12/7/13,December,NH,60,1,,RF,1,184
12/7/13,December,NH,60,1,,RF,1,192
12/7/13,December,NH,60,1,,RF,1,186
12/7/13,December,NH,60,1,,RF,1,190
12/7/13,December,NH,60,1,,RF,1,183
12/7/13,December,NH,60,1,,RF,1,184
12/7/13,December,NH,60,1,,RF,1,194
12/7/13,December,NH,60,1,,RF,1,188
12/7/13,December,NH,60,1,,RF,1,186
12/7/13,December,NH,60,1,,RF,1,178
12/7/13,December,NH,60,1,,RF,1,187
12/7/13,December,NH,60,1,,RF,1,179
12/7/13,December,NH,60,1,,RF,1,180
12/7/13,December,NH,60,1,,RF,1,179
12/7/13,December,NH,60,3,,RF,1,195
12/7/13,December,NH,60,3,,RF,1,182
12/7/13,December,NH,60,3,,RF,1,215
12/7/13,December,NH,60,3,,RF,1,193
12/7/13,December,NH,60,3,,RF,1,176
12/7/13,December,NH,60,3,,RF,1,172
12/7/13,December,NH,60,3,,RF,1,190
12/7/13,December,NH,60,3,,RF,1,189
12/7/13,December,NH,60,3,,RF,1,189
12/7/13,December,NH,60,3,,RF,1,189
12/7/13,December,NH,40,1,,RF,1,181
12/7/13,December,NH,40,1,,RF,1,199
12/7/13,December,NH,40,1,,RF,1,175
12/7/13,December,NH,40,1,,RF,1,200
12/7/13,December,NH,40,1,,RF,1,191
12/7/13,December,NH,40,1,,RF,1,166
12/7/13,December,NH,40,1,,RF,1,187
12/7/13,December,NH,40,1,,RF,1,188
12/7/13,December,NH,40,1,,RF,1,181
12/7/13,December,NH,40,2,,RF,2,150
12/7/13,December,NH,40,2,,RF,1,179
12/7/13,December,NH,40,2,,RF,2,159
12/7/13,December,NH,40,2,,RF,1,190
12/7/13,December,NH,40,2,,RF,1,196
