ID,Site,Year,Month,Day,Surface Temp C st,Bottom Temp C st,Surface Salinity ppt st,Bottom Salinity ppt st,Surface DO mg/l st,Bottom DO mg/l st,Surface Temp C end,Bottom Temp C end,Surface Salinity ppt end,Bottom Salinity ppt end,Surface DO mg/l end,Bottom DO mg/l end,,ID,Site,Year,Month,Day,Surface Temp C st,Bottom Temp C st,Surface Salinity ppt st,Bottom Salinity ppt st,Surface DO mg/l st,Bottom DO mg/l st,Surface Temp C end,Bottom Temp C end,Surface Salinity ppt end,Bottom Salinity ppt end,Surface DO mg/l end,Bottom DO mg/l end,,Year,Month,Bottom Temp C st,Bottom Salinity ppt st,Bottom DO mg/l st,,Year,Month,Mean Btm Temp,STDEV,Mean Btm Salinity,STDEV,Mean Btm DO,STDEV
05-11-03_2,2,2003,May,11,13.4,12.3,28.3,33.2,8.6,8.85,13.9,12.8,27.3,32.3,9.1,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-11-03_1,1,2003,May,11,13.8,12,29.6,33.9,8.68,8.65,14.3,12.3,29.2,33.5,8.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-11-03_4,4,2003,May,11,13.5,13,26.3,27,9.05,8.51,13.7,13.4,32.1,23.7,9.52,8.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-11-03_3,3,2003,May,11,13.2,12.4,33.1,26.5,8.3,8.72,13.2,12.4,28,32.8,8.56,8.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-17-04_3,3,2004,May,17,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-17-04_2,2,2004,May,17,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-17-04_4,4,2004,May,17,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-17-04_5,5,2004,May,17,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-6-05_2,2,2005,May,6,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-6-05_5,5,2005,May,6,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-6-05_3,3,2005,May,6,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-6-05_1,1,2005,May,6,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-6-05_4,4,2005,May,6,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-1-05_2,2,2005,June,1,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-1-05_3,3,2005,June,1,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-1-05_4,4,2005,June,1,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-1-05_5,5,2005,June,1,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-18-04_3,3,2004,June,18,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-18-04_4,4,2004,June,18,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-18-04_2,2,2004,June,18,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-18-04_1,1,2004,June,18,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-18-04_5,5,2004,June,18,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-7-03_3,3,2003,June,7,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-7-03_4,4,2003,June,7,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-7-03_5,5,2003,June,7,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-1-05_3,3,2005,July,1,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-2-03_3b,3b,2003,July,2,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-2-03_5,5,2003,July,2,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-2-03_3,3,2003,July,2,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-22-04_3,3,2004,July,22,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-22-04_4,4,2004,July,22,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-22-04_5,5,2004,July,22,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-22-04_2,2,2004,July,22,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-27-05_4,4,2005,July,27,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-27-05_5,5,2005,July,27,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-30-03_2,2,2003,July,30,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-30-03_4,4,2003,July,30,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-30-03_3,3,2003,July,30,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
